Training loss,Validation loss,Accuracy,Precision,Recall,F1-score,CSI-score
0.66932005,20.721153,0.6504669196428572,0.2045098044592487,0.9755358931954308,0.3379187954473363,0.20345350414378044
0.46725112,0.32798705,0.9031502053571429,0.48278283400676647,0.8209872728574525,0.6078869943617708,0.436690523382136
0.33865488,0.22898713,0.9215648035714286,0.5554086868330104,0.7203260624504884,0.6266224411011654,0.45627182781910375
0.26440248,0.233585,0.9146392053571428,0.5223926980698643,0.7850919648640268,0.6270736544537253,0.45676040256313766
0.22986309,0.19793692,0.9294622767857144,0.6065302308547753,0.6564300035743964,0.6297367190114233,0.4595737891489156
0.21340135,0.21241531,0.9254294464285715,0.577244300711292,0.6956979959518796,0.630317120208759,0.46019461368260095
0.20473741,0.19461063,0.9254172678571428,0.5764409561229702,0.7013605731665501,0.6321757659011857,0.46217871800151644
0.20086397,0.18548521,0.9279089732142857,0.5960526409715552,0.6622584499787623,0.6267469819487799,0.45639609971701817
0.19855951,0.19542243,0.9288918392857143,0.7123468308496028,0.3797379096861482,0.4938517466189183,0.3280988300745079
0.19799449,0.1641745,0.9310506607142857,0.6784978389152612,0.47315819068513343,0.5564785676754069,0.38555008593739737
