Training loss,Validation loss,Accuracy,Precision,Recall,F1-score,CSI-score
0.31305313,26.47707,0.4396951964285714,0.1132261188556481,0.7493889360858199,0.1966238868957626,0.10907796083880458
0.20927235,0.40299714,0.8354474017857143,0.34871673718984164,0.9212028197647126,0.5058097045088809,0.3385691534184011
0.19824705,0.24499673,0.8950421071428571,0.4606895656510679,0.8647146110046227,0.6009202121612276,0.4295664569883048
0.1986888,0.15944499,0.9278078392857143,0.5920139025326432,0.6818284665089224,0.6333559662280673,0.4634389427597123
0.19436295,0.16460322,0.9302713571428571,0.619962282301561,0.6177843202207656,0.6183796533824197,0.4475757040491554
0.19258603,0.1528818,0.9312239732142857,0.6379117126650156,0.5780689522588436,0.6058472662499439,0.434568557735696
0.1922791,0.15209228,0.9305135982142857,0.6186360639945463,0.6310690860420429,0.6241140930545367,0.4536093789984711
0.19208393,0.15892133,0.9277306785714285,0.5898805438316301,0.6919580611054739,0.636545634108439,0.46686455386968695
0.19094828,0.1506004,0.9321850357142858,0.6763406306771191,0.5014426566578887,0.5747409094880251,0.4032886190750885
0.19110067,0.18202962,0.9304518928571428,0.616638691192599,0.6369109246184397,0.6261798678706278,0.45579465115397655
