Training loss,Validation loss,Accuracy,Precision,Recall,F1-score,CSI-score
0.21029601541330228,0.16325043886899948,0.923354625,0.0,0.0,0.0,0.0
0.15762649743624454,0.16069617867469788,0.9299312053571429,0.5321035376514709,0.5263312972131745,0.5251295616485268,0.35905416355576514
0.15007731866724086,0.20431139320135117,0.9205855714285714,0.4786179117626542,0.6416688861378144,0.5455893783535818,0.37726638142607866
0.15000480539956182,0.1438719891011715,0.9352104464285714,0.5899559559578277,0.4123186020883943,0.479098747598494,0.31998596685088654
0.14634227232550676,0.14460809528827667,0.9346047857142856,0.5683023537693364,0.48553614540687073,0.5215347064406741,0.3560775484499935
0.14205054559235303,0.14777058362960815,0.9348074642857143,0.5669297997441799,0.5210506926856824,0.5425822193603317,0.3743325317753443
0.14242933296932364,0.14585451781749725,0.9339934553571428,0.6142159153829397,0.3124867552578727,0.4132197001414336,0.26253038244530136
0.1407783032869393,0.14393124729394913,0.9328785625,0.5451474276092103,0.5995137464433675,0.5698512495760475,0.4005523842867661
0.14058904167053834,0.1390833519399166,0.9368202410714286,0.5981980836856409,0.4601297651930185,0.5188489394125327,0.35272070327419525
0.13769401553666816,0.13885604217648506,0.9379987946428572,0.6260758033820291,0.4192817983021426,0.5013789667138464,0.3365654795178502
0.1407749172089235,0.1412355676293373,0.9371836607142857,0.5978018643062479,0.47717489474064695,0.5304032023011849,0.36278486486656014
0.13717707021618789,0.1361197903752327,0.9365813660714286,0.5761298923218587,0.5675447112719162,0.5716831550437276,0.401642392669986
0.13688682736653202,0.13394945114850998,0.9374295357142857,0.602428134609002,0.4769583808716755,0.532045732437277,0.3640073937859524
0.1351269874370323,0.15397009253501892,0.9372676428571428,0.5828291568884854,0.5597598063101948,0.5704434144870534,0.4007443043515442
0.13606395600539334,0.13944781199097633,0.9386110178571428,0.6012746556661344,0.5239685708827507,0.5580691170891292,0.3894228079079434
0.13531228239243887,0.14941181987524033,0.9354939196428571,0.5594515864771215,0.6117219442170334,0.5840017633001193,0.41456038587454214
0.13602061274479021,0.1496354341506958,0.932849705357143,0.5404423142030421,0.661455425625548,0.5942611270512077,0.42446053405165396
0.13653915333298017,0.13907252624630928,0.9382656160714286,0.6270963882680158,0.42535188663327306,0.5067585994406939,0.340961705821171
0.1379605050919191,0.13242703676223755,0.9378106875,0.5865313413854836,0.5573077203931003,0.571442064024723,0.40161156705511913
0.13437085106687727,0.13445685431361198,0.9385796875,0.5995765692291684,0.5250170519638782,0.5595452136785122,0.39025793552540006
0.13375118107728237,0.1534183770418167,0.9383840625,0.5918000567200067,0.561765348033797,0.5763910327254526,0.4060671247603095
0.13460142657441912,0.14300676435232162,0.9368191339285714,0.5951572395016245,0.5050443016337725,0.5446531693489847,0.37466133643884997
0.13513155942255595,0.1424875594675541,0.9357933482142857,0.5607576900209679,0.627229057172426,0.5921099151496949,0.4221590524481478
0.1342941217546193,0.15810047090053558,0.9361739821428572,0.5641850996946718,0.6299939629182527,0.5948531858362907,0.4249792672831215
0.1368390609914402,0.13387463241815567,0.9394207232142857,0.6308443555490827,0.46032531505988206,0.5322404357956249,0.363694057542269
0.13622113949847672,0.1328335404396057,0.939112875,0.6151077367903025,0.4933528847660326,0.5475307395898974,0.3782260092865492
0.13301460388696418,0.1317804530262947,0.9393447232142857,0.6169075008296525,0.5001757094825281,0.5524343804937135,0.3826721842628633
0.1329525574198309,0.13293486833572388,0.9385759196428571,0.5923091075002651,0.5668125438759275,0.5792500034328887,0.4088583119158611
0.1342843972005934,0.13816330581903458,0.9393748035714286,0.6032307358097984,0.5473739151307776,0.5735345646345693,0.4036485146018891
0.1323279176118239,0.13307767361402512,0.9381984464285714,0.667413917286761,0.3651845187903775,0.4718889241001048,0.3090587460367129
