,Monsoon_total_mm,CI,Rainfall_forcing
1984,1135.5304,0.37418964035837665,0.2870795162028228
1985,1218.2167,0.7405144912478263,0.7158680833866324
1986,1019.49475,0.8686176850652563,0.4232085205068715
1987,1052.7197,0.8527817784303603,0.48385926433786186
1988,1225.7688,0.38582214867854436,0.3800115492139724
1989,1067.2622,0.890379012427986,0.5364345339860358
1990,1200.8645,0.6462783451920934,0.5977092864905782
1991,1048.3525,0.403350756891036,0.2246065486398166
1992,817.5716,0.6046058362262264,0.0
1993,1057.0024,0.4499096883277961,0.25992321350816916
1994,1012.33234,0.42805522606072854,0.20115963796505687
1995,1007.8856,0.6014468113227647,0.276189803760445
1996,1093.0753,0.7613901012321831,0.5061442655825787
1997,1010.1626,0.9016365313054863,0.41899332961937047
1998,1162.1777,0.3030489208031238,0.25198539252671187
1999,1191.4014,0.0,0.0
2000,1185.7094,0.5105503500147341,0.4535117431654561
2001,1083.9672,0.2108279127922442,0.13551729906542134
2002,965.0296,0.5681136223334602,0.20213577656643972
2003,1085.9364,0.45546888262775254,0.29493335789493536
2004,1113.9081,0.5099777657685763,0.36464980442135964
2005,998.679,0.6516591993457811,0.284771403748057
2006,1006.3279,0.34967093451630643,0.15925775161062009
2007,1107.731,0.6848958642377451,0.479513396570334
2008,1163.314,0.5535004312376408,0.46175349710678265
2009,997.32745,0.7109137971870285,0.30834691267075354
2010,1158.4071,0.35145815315497214,0.2890400767579599
2011,1184.7151,0.7351718167722432,0.651274836791972
2012,1165.5446,0.49300473609523643,0.4139388669311515
2013,1232.0104,0.5418654538501696,0.5418654538501696
2014,1045.3494,0.25130611935693276,0.13811919260383454
2015,974.7572,0.5926689114961915,0.22478356179742895
2016,1215.8693,0.3920655843141523,0.3767958347819213
2017,1159.3247,1.0,0.8246166110038757
2018,1111.7764,0.2779732580923238,0.19732964311549128
2019,1143.2263,0.839949495279854,0.6600094671388828
2020,1122.7593,0.1983335294085531,0.14605040107679884
2021,1171.3927,0.06533863804060414,0.05578191524387451
2022,1081.8708,0.2866752550626728,0.18282086431041747
2023,980.0801,0.22832856004427202,0.08953150853257712
2024,1148.0791,0.34858493671895896,0.2779902380582378
